ID	age	education-num	work-class	marital-status	occupation	race	sex	native-country
e10115	Age	K-12	Private	Married	Machine-op-inspct	Race	Male	Country
e10116	Age	K-12	Private	Not-married	Exec-managerial	Race	Female	Country
e10117	Age	K-12	Private	Married	Handlers-cleaners	Race	Male	Country
e10118	Age	K-12	Private	Not-married	Other-service	Race	Male	Country
e10119	Age	K-12	Private	Married	Exec-managerial	Race	Male	Country
e10120	Age	K-12	Private	Not-married	Handlers-cleaners	Race	Male	Country
e10121	Age	K-12	Private	Not-married	Prof-specialty	Race	Female	Country
e10122	Age	Higher-education	Local-gov	Not-married	Prof-specialty	Race	Female	Country
e10123	Age	K-12	Private	Not-married	Other-service	Race	Male	Country
e10124	Age	Higher-education	Private	Married	Exec-managerial	Race	Male	Country
e10125	Age	K-12	Private	Married	Transport-moving	Race	Male	Country
e10126	Age	K-12	Private	Married	Handlers-cleaners	Race	Male	Country
e10127	Age	K-12	Private	Married	Sales	Race	Male	Country
e10128	Age	K-12	Private	Not-married	Transport-moving	Race	Male	Country
e10129	Age	K-12	Private	Not-married	Transport-moving	Race	Male	Country
e10130	Age	Higher-education	Private	Not-married	Prof-specialty	Race	Female	Country
e10131	Age	K-12	Private	Not-married	Exec-managerial	Race	Female	Country
e10132	Age	K-12	Private	Not-married	Adm-clerical	Race	Male	Country
e10133	Age	K-12	Private	Not-married	Craft-repair	Race	Male	Country
e10134	Age	Higher-education	Private	Married	Craft-repair	Race	Male	Country
e10135	Age	K-12	Private	Married	Prof-specialty	Race	Male	Country
e10136	Age	K-12	Private	Married	Adm-clerical	Race	Female	Country
e10137	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10138	Age	K-12	Private	Not-married	Machine-op-inspct	Race	Male	Country
e10139	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10140	Age	K-12	Private	Married	Exec-managerial	Race	Male	Country
e10141	Age	K-12	Private	Not-married	Sales	Race	Female	Country
e10142	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10143	Age	Higher-education	Private	Not-married	Exec-managerial	Race	Female	Country
e10144	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10145	Age	K-12	Self-emp-not-inc	Married	Farming-fishing	Race	Male	Country
e10146	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10147	Age	K-12	Without-pay	Married	Other-service	Race	Male	Country
e10148	Age	K-12	Private	Married	Other-service	Race	Male	Country
e10149	Age	K-12	Private	Not-married	Sales	Race	Male	Country
e10150	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10151	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10152	Age	Higher-education	Private	Not-married	Adm-clerical	Race	Female	Country
e10153	Age	Higher-education	Private	Married	Sales	Race	Male	Country
e10154	Age	K-12	Private	Married	Prof-specialty	Race	Male	Country
e10155	Age	Higher-education	Private	Not-married	Adm-clerical	Race	Female	Country
e10156	Age	Higher-education	Private	Not-married	Sales	Race	Female	Country
e10157	Age	Higher-education	Self-emp-not-inc	Married	Prof-specialty	Race	Male	Country
e10158	Age	K-12	Private	Married	Exec-managerial	Race	Male	Country
e10159	Age	K-12	Private	Not-married	Sales	Race	Female	Country
e10160	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10161	Age	K-12	Private	Not-married	Craft-repair	Race	Male	Country
e10162	Age	K-12	Private	Not-married	Handlers-cleaners	Race	Male	Country
e10163	Age	K-12	Private	Married	Machine-op-inspct	Race	Male	Country
e10164	Age	Higher-education	Self-emp-not-inc	Married	Farming-fishing	Race	Male	Country
e10165	Age	K-12	Private	Not-married	Sales	Race	Female	Country
e10166	Age	K-12	Private	Married	Transport-moving	Race	Male	Country
e10167	Age	K-12	Local-gov	Married	Transport-moving	Race	Male	Country
e10168	Age	K-12	Private	Not-married	Craft-repair	Race	Male	Country
e10169	Age	K-12	Private	Married	Adm-clerical	Race	Male	Country
e10170	Age	K-12	Federal-gov	Married	Exec-managerial	Race	Male	Country
e10171	Age	Higher-education	Private	Not-married	Exec-managerial	Race	Female	Country
e10172	Age	K-12	Private	Not-married	Sales	Race	Male	Country
e10173	Age	K-12	Private	Married	Transport-moving	Race	Male	Country
e10174	Age	Higher-education	Self-emp-not-inc	Not-married	Prof-specialty	Race	Female	Country
e10175	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10176	Age	K-12	Private	Not-married	Handlers-cleaners	Race	Male	Country
e10177	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10178	Age	K-12	Private	Married	Handlers-cleaners	Race	Male	Country
e10179	Age	K-12	Private	Married	Exec-managerial	Race	Male	Country
e10180	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10181	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10182	Age	K-12	Private	Married	Prof-specialty	Race	Male	Country
e10183	Age	K-12	Private	Married	Machine-op-inspct	Race	Male	Country
e10184	Age	K-12	Self-emp-inc	Married	Exec-managerial	Race	Male	Country
e10185	Age	K-12	Self-emp-not-inc	Married	Other-service	Race	Female	Country
e10186	Age	K-12	Private	Not-married	Adm-clerical	Race	Male	Country
e10187	Age	K-12	Private	Married	Tech-support	Race	Female	Country
e10188	Age	K-12	Private	Married	Machine-op-inspct	Race	Male	Country
e10189	Age	K-12	Private	Not-married	Exec-managerial	Race	Male	Country
e10190	Age	Higher-education	Private	Married	Exec-managerial	Race	Male	Country
e10191	Age	Higher-education	State-gov	Married	Machine-op-inspct	Race	Male	Country
e10192	Age	Higher-education	Private	Married	Exec-managerial	Race	Male	Country
e10193	Age	K-12	Self-emp-not-inc	Not-married	Tech-support	Race	Female	Country
e10194	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10195	Age	K-12	Private	Married	Sales	Race	Male	Country
e10196	Age	Higher-education	Private	Not-married	Adm-clerical	Race	Male	Country
e10197	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10198	Age	K-12	Private	Not-married	Handlers-cleaners	Race	Male	Country
e10199	Age	K-12	Private	Married	Sales	Race	Male	Country
e10200	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10201	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10202	Age	Higher-education	Private	Not-married	Prof-specialty	Race	Female	Country
e10203	Age	Higher-education	Self-emp-not-inc	Married	Machine-op-inspct	Race	Male	Country
e10204	Age	Higher-education	Self-emp-inc	Not-married	Prof-specialty	Race	Male	Country
e10205	Age	K-12	State-gov	Not-married	Tech-support	Race	Female	Country
e10206	Age	K-12	Private	Married	Transport-moving	Race	Male	Country
e10207	Age	K-12	Local-gov	Not-married	Protective-serv	Race	Female	Country
e10208	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10209	Age	K-12	Private	Married	Other-service	Race	Male	Country
e10210	Age	K-12	Private	Not-married	Exec-managerial	Race	Male	Country
e10211	Age	K-12	Self-emp-not-inc	Married	Farming-fishing	Race	Male	Country
e10212	Age	K-12	Private	Married	Transport-moving	Race	Male	Country
e10213	Age	K-12	Private	Married	Handlers-cleaners	Race	Male	Country
e10214	Age	K-12	Private	Not-married	Sales	Race	Male	Country
e10215	Age	Higher-education	Self-emp-not-inc	Not-married	Exec-managerial	Race	Female	Country
e10216	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10217	Age	Higher-education	Private	Married	Prof-specialty	Race	Male	Country
e10218	Age	K-12	Private	Not-married	Craft-repair	Race	Male	Country
e10219	Age	K-12	Private	Married	Exec-managerial	Race	Male	Country
e10220	Age	K-12	Self-emp-not-inc	Not-married	Craft-repair	Race	Female	Country
e10221	Age	Higher-education	Self-emp-not-inc	Married	Craft-repair	Race	Male	Country
e10222	Age	K-12	Private	Not-married	Sales	Race	Female	Country
e10223	Age	K-12	Local-gov	Not-married	Adm-clerical	Race	Female	Country
e10224	Age	Higher-education	Private	Not-married	Adm-clerical	Race	Female	Country
e10225	Age	K-12	Private	Not-married	Other-service	Race	Male	Country
e10226	Age	K-12	Self-emp-not-inc	Not-married	Craft-repair	Race	Male	Country
e10227	Age	K-12	Private	Not-married	Machine-op-inspct	Race	Female	Country
e10228	Age	K-12	Private	Not-married	Exec-managerial	Race	Female	Country
e10229	Age	K-12	Private	Not-married	Adm-clerical	Race	Male	Country
e10230	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10231	Age	K-12	Private	Not-married	Sales	Race	Female	Country
e10232	Age	Higher-education	Self-emp-inc	Married	Exec-managerial	Race	Male	Country
e10233	Age	K-12	Local-gov	Not-married	Adm-clerical	Race	Female	Country
e10234	Age	Higher-education	Private	Not-married	Prof-specialty	Race	Male	Country
e10235	Age	K-12	Private	Not-married	Craft-repair	Race	Male	Country
e10236	Age	K-12	Private	Not-married	Other-service	Race	Male	Country
e10237	Age	K-12	Private	Not-married	Tech-support	Race	Male	Country
e10238	Age	Higher-education	State-gov	Married	Exec-managerial	Race	Female	Country
e10239	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10240	Age	Higher-education	Private	Not-married	Exec-managerial	Race	Male	Country
e10241	Age	K-12	Private	Not-married	Exec-managerial	Race	Female	Country
e10242	Age	Higher-education	Private	Married	Prof-specialty	Race	Female	Country
e10243	Age	Higher-education	Private	Not-married	Tech-support	Race	Male	Country
e10244	Age	Higher-education	Private	Married	Handlers-cleaners	Race	Male	Country
e10245	Age	Higher-education	Private	Not-married	Exec-managerial	Race	Female	Country
e10246	Age	Higher-education	Self-emp-inc	Married	Exec-managerial	Race	Male	Country
e10247	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10248	Age	K-12	Self-emp-not-inc	Married	Farming-fishing	Race	Male	Country
e10249	Age	K-12	Self-emp-inc	Not-married	Exec-managerial	Race	Male	Country
e10250	Age	K-12	Private	Married	Sales	Race	Female	Country
e10251	Age	K-12	Private	Not-married	Transport-moving	Race	Male	Country
e10252	Age	K-12	Private	Not-married	Handlers-cleaners	Race	Male	Country
e10253	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10254	Age	K-12	Self-emp-inc	Not-married	Craft-repair	Race	Male	Country
e10255	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10256	Age	Higher-education	Private	Married	Sales	Race	Male	Country
e10257	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10258	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10259	Age	Higher-education	Private	Married	Prof-specialty	Race	Female	Country
e10260	Age	K-12	Private	Married	Adm-clerical	Race	Female	Country
e10261	Age	K-12	Local-gov	Not-married	Sales	Race	Female	Country
e10262	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10263	Age	Higher-education	Local-gov	Not-married	Prof-specialty	Race	Male	Country
e10264	Age	K-12	Private	Not-married	Prof-specialty	Race	Male	Country
e10265	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10266	Age	Higher-education	Local-gov	Married	Adm-clerical	Race	Male	Country
e10267	Age	Higher-education	Self-emp-not-inc	Married	Prof-specialty	Race	Male	Country
e10268	Age	Higher-education	Private	Married	Prof-specialty	Race	Male	Country
e10269	Age	K-12	Private	Not-married	Priv-house-serv	Race	Female	Country
e10270	Age	K-12	Private	Not-married	Other-service	Race	Male	Country
e10271	Age	K-12	Self-emp-not-inc	Married	Transport-moving	Race	Male	Country
e10272	Age	Higher-education	Private	Not-married	Exec-managerial	Race	Male	Country
e10273	Age	K-12	State-gov	Not-married	Other-service	Race	Female	Country
e10274	Age	K-12	Private	Not-married	Farming-fishing	Race	Male	Country
e10275	Age	K-12	Self-emp-not-inc	Married	Farming-fishing	Race	Male	Country
e10276	Age	Higher-education	Private	Married	Prof-specialty	Race	Male	Country
e10277	Age	K-12	Private	Married	Transport-moving	Race	Male	Country
e10278	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10279	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10280	Age	K-12	Private	Married	Other-service	Race	Male	Country
e10281	Age	Higher-education	Private	Married	Adm-clerical	Race	Male	Country
e10282	Age	K-12	Private	Not-married	Sales	Race	Female	Country
e10283	Age	K-12	Private	Not-married	Machine-op-inspct	Race	Male	Country
e10284	Age	K-12	Private	Not-married	Transport-moving	Race	Male	Country
e10285	Age	Higher-education	State-gov	Not-married	Prof-specialty	Race	Female	Country
e10286	Age	K-12	Self-emp-not-inc	Married	Craft-repair	Race	Male	Country
e10287	Age	Higher-education	Private	Married	Prof-specialty	Race	Male	Country
e10288	Age	K-12	Private	Married	Prof-specialty	Race	Male	Country
e10289	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10290	Age	Higher-education	State-gov	Married	Exec-managerial	Race	Male	Country
e10291	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10292	Age	K-12	Self-emp-not-inc	Not-married	Craft-repair	Race	Female	Country
e10293	Age	K-12	Self-emp-not-inc	Not-married	Farming-fishing	Race	Male	Country
e10294	Age	K-12	Private	Married	Machine-op-inspct	Race	Male	Country
e10295	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10296	Age	Higher-education	Local-gov	Not-married	Exec-managerial	Race	Female	Country
e10297	Age	K-12	Private	Not-married	Other-service	Race	Male	Country
e10298	Age	K-12	Private	Not-married	Exec-managerial	Race	Female	Country
e10299	Age	K-12	Private	Not-married	Transport-moving	Race	Male	Country
e10300	Age	K-12	Private	Not-married	Craft-repair	Race	Male	Country
e10301	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10302	Age	Higher-education	Local-gov	Not-married	Prof-specialty	Race	Female	Country
e10303	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10304	Age	Higher-education	Private	Married	Sales	Race	Male	Country
e10305	Age	K-12	Private	Not-married	Sales	Race	Male	Country
e10306	Age	K-12	Private	Not-married	Prof-specialty	Race	Female	Country
e10307	Age	K-12	Private	Not-married	Protective-serv	Race	Female	Country
e10308	Age	K-12	Private	Not-married	Craft-repair	Race	Male	Country
e10309	Age	K-12	Private	Not-married	Craft-repair	Race	Male	Country
e10310	Age	K-12	Private	Not-married	Other-service	Race	Male	Country
e10311	Age	K-12	Self-emp-not-inc	Married	Exec-managerial	Race	Male	Country
e10312	Age	K-12	Private	Married	Adm-clerical	Race	Male	Country
e10313	Age	K-12	Private	Married	Protective-serv	Race	Male	Country
e10314	Age	K-12	Private	Married	Machine-op-inspct	Race	Male	Country
e10315	Age	Higher-education	Private	Not-married	Prof-specialty	Race	Male	Country
e10316	Age	K-12	Local-gov	Married	Transport-moving	Race	Male	Country
e10317	Age	K-12	Private	Married	Exec-managerial	Race	Female	Country
e10318	Age	K-12	Private	Married	Exec-managerial	Race	Male	Country
e10319	Age	Higher-education	Private	Not-married	Adm-clerical	Race	Female	Country
e10320	Age	K-12	Private	Not-married	Other-service	Race	Male	Country
e10321	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10322	Age	Higher-education	Private	Married	Adm-clerical	Race	Female	Country
e10323	Age	Higher-education	Private	Married	Exec-managerial	Race	Male	Country
e10324	Age	K-12	Self-emp-not-inc	Married	Craft-repair	Race	Male	Country
e10325	Age	Higher-education	State-gov	Married	Prof-specialty	Race	Male	Country
e10326	Age	Higher-education	Private	Not-married	Prof-specialty	Race	Female	Country
e10327	Age	K-12	State-gov	Married	Exec-managerial	Race	Female	Country
e10328	Age	K-12	Private	Married	Machine-op-inspct	Race	Male	Country
e10329	Age	K-12	Private	Not-married	Farming-fishing	Race	Male	Country
e10330	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10331	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10332	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10333	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10334	Age	Higher-education	Private	Married	Exec-managerial	Race	Female	Country
e10335	Age	K-12	Self-emp-not-inc	Married	Craft-repair	Race	Male	Country
e10336	Age	K-12	Private	Not-married	Craft-repair	Race	Male	Country
e10337	Age	K-12	Private	Married	Farming-fishing	Race	Male	Country
e10338	Age	K-12	Private	Married	Tech-support	Race	Male	Country
e10339	Age	K-12	Private	Married	Exec-managerial	Race	Male	Country
e10340	Age	Higher-education	Private	Not-married	Prof-specialty	Race	Female	Country
e10341	Age	K-12	Local-gov	Not-married	Transport-moving	Race	Female	Country
e10342	Age	K-12	Private	Not-married	Handlers-cleaners	Race	Male	Country
e10343	Age	Higher-education	Private	Married	Sales	Race	Male	Country
e10344	Age	K-12	Private	Married	Protective-serv	Race	Male	Country
e10345	Age	K-12	Private	Not-married	Protective-serv	Race	Male	Country
e10346	Age	K-12	Private	Not-married	Adm-clerical	Race	Male	Country
e10347	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10348	Age	K-12	Private	Not-married	Other-service	Race	Female	Country
e10349	Age	K-12	Private	Married	Other-service	Race	Female	Country
e10350	Age	K-12	Private	Not-married	Sales	Race	Female	Country
e10351	Age	K-12	Self-emp-not-inc	Married	Farming-fishing	Race	Male	Country
e10352	Age	K-12	Self-emp-inc	Not-married	Sales	Race	Male	Country
e10353	Age	Higher-education	Private	Married	Exec-managerial	Race	Male	Country
e10354	Age	K-12	Private	Married	Prof-specialty	Race	Male	Country
e10355	Age	Higher-education	Private	Not-married	Prof-specialty	Race	Female	Country
e10356	Age	K-12	Private	Not-married	Prof-specialty	Race	Female	Country
e10357	Age	Higher-education	Private	Married	Adm-clerical	Race	Female	Country
e10358	Age	K-12	Private	Married	Other-service	Race	Male	Country
e10359	Age	K-12	Private	Not-married	Machine-op-inspct	Race	Female	Country
e10360	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10361	Age	K-12	Self-emp-not-inc	Married	Farming-fishing	Race	Male	Country
e10362	Age	Higher-education	Private	Married	Sales	Race	Male	Country
e10363	Age	Higher-education	Private	Not-married	Prof-specialty	Race	Female	Country
e10364	Age	K-12	Self-emp-not-inc	Married	Farming-fishing	Race	Male	Country
e10365	Age	K-12	Private	Not-married	Sales	Race	Female	Country
e10366	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10367	Age	K-12	Private	Not-married	Craft-repair	Race	Male	Country
e10368	Age	K-12	Private	Married	Prof-specialty	Race	Male	Country
e10369	Age	Higher-education	Self-emp-not-inc	Married	Prof-specialty	Race	Male	Country
e10370	Age	K-12	Self-emp-not-inc	Not-married	Adm-clerical	Race	Female	Country
e10371	Age	K-12	Private	Not-married	Craft-repair	Race	Male	Country
e10372	Age	K-12	Private	Not-married	Handlers-cleaners	Race	Female	Country
e10373	Age	K-12	Private	Not-married	Adm-clerical	Race	Male	Country
e10374	Age	K-12	State-gov	Not-married	Adm-clerical	Race	Female	Country
e10375	Age	K-12	Private	Not-married	Sales	Race	Female	Country
e10376	Age	K-12	Private	Married	Other-service	Race	Male	Country
e10377	Age	K-12	Private	Not-married	Tech-support	Race	Female	Country
e10378	Age	K-12	Private	Married	Adm-clerical	Race	Female	Country
e10379	Age	K-12	Self-emp-not-inc	Not-married	Other-service	Race	Female	Country
e10380	Age	K-12	Private	Not-married	Other-service	Race	Male	Country
e10381	Age	K-12	Private	Married	Exec-managerial	Race	Male	Country
e10382	Age	Higher-education	Private	Married	Exec-managerial	Race	Male	Country
e10383	Age	Higher-education	Private	Married	Sales	Race	Male	Country
e10384	Age	K-12	Private	Not-married	Adm-clerical	Race	Female	Country
e10385	Age	K-12	Private	Married	Craft-repair	Race	Male	Country
e10386	Age	K-12	Private	Not-married	Sales	Race	Male	Country
e10387	Age	K-12	Private	Not-married	Handlers-cleaners	Race	Male	Country
